Date,Product,Region,Sales,Profit
2024-03-01,Smartphone,South,4381.449320171104,1291.8600040982049
2024-03-02,Tablet,East,3127.4011125960856,
2024-03-03,Accessory,North,,1270.8007629838723
2024-03-04,Smartphone,South,803.5176358746464,211.76403837199524
2024-03-05,Accessory,West,476.481356497736,118.17840920342998
2024-03-06,Smartphone,East,2106.1951391110956,
2024-03-07,Smartphone,North,1719.1437127401591,576.7363204154582
2024-03-08,Accessory,North,2140.3458942451293,
2024-03-09,Smartphone,North,1863.3693644733808,264.3425375791134
2024-03-10,Accessory,East,1721.3311470722313,323.2118573152381
2024-03-11,Tablet,East,2702.8147661458324,505.90511794825625
2024-03-12,Accessory,South,1577.138907706659,344.9825676198569
2024-03-13,Tablet,South,1847.227471992888,497.59024408719534
2024-03-14,Laptop,South,4508.050668278728,1339.3074284076104
2024-03-15,Smartphone,East,614.5434953878901,196.70397945121633
2024-03-16,Tablet,North,2430.6399996693503,409.6656908586438
2024-03-17,Smartphone,East,3124.6677824702074,1226.481663647009
2024-03-18,Accessory,East,3370.4377417982923,639.5945966743029
2024-03-19,Laptop,North,4174.4897528165775,1500.0024068078762
2024-03-20,Laptop,East,2537.777677923721,
2024-03-21,Smartphone,North,1507.3778278617958,278.67738483425387
2024-03-22,Laptop,South,4266.1130304078215,625.8239090945226
2024-03-23,Smartphone,North,142.39393299716485,19.89080614143719
2024-03-24,Laptop,West,620.4800253874816,125.5087522246283
2024-03-25,Smartphone,South,3987.381777778815,1002.4357256184201
2024-03-26,Tablet,West,2205.197558266108,787.3852377443835
2024-03-27,Accessory,East,1049.59403479504,321.60679345611493
2024-03-28,Smartphone,North,897.8670061944729,199.1231265664201
2024-03-29,Smartphone,East,436.69559331995004,148.53521861972573
2024-03-30,Laptop,North,2148.597331504966,797.6406297385479
2024-03-31,Accessory,West,1556.5688043780374,164.50535663502396
2024-04-01,Laptop,West,2150.531123173608,665.4420604596688
2024-04-02,Laptop,North,546.7716625077558,94.55163509640921
2024-04-03,Tablet,East,3817.8623293343735,956.9926511783118
2024-04-04,Accessory,East,696.9453058193048,165.40321894350447
2024-04-05,Tablet,North,4208.450842825839,737.8904670435006
2024-04-06,Smartphone,East,2381.6038195842866,771.8588461598079
2024-04-07,Tablet,North,373.0473231772796,98.27501683330362
2024-04-08,Accessory,South,366.2945399151761,106.61885543747178
2024-04-09,Smartphone,West,4366.196944506031,1547.2737321326524
2024-04-10,Tablet,South,4221.691074797754,1342.5026111274713
2024-04-11,Smartphone,South,763.2598463627921,271.62375506039683
2024-04-12,Laptop,West,3810.7489993044173,1495.292597518302
2024-04-13,Smartphone,South,1459.0852634885084,258.3280466682484
2024-04-14,Laptop,West,4570.066051506636,
2024-04-15,Smartphone,East,,427.1985700830661
2024-04-16,Smartphone,West,1352.3673048663113,420.4253537833028
2024-04-17,Tablet,South,1953.1760620022387,386.5612688462931
2024-04-18,Laptop,West,4795.8871080140425,1692.8020376586433
2024-04-19,Tablet,West,3579.685647936739,1359.1507587627261
2024-04-20,Accessory,East,3954.973487605166,1221.804336230998
2024-04-21,Accessory,West,1190.3933136651026,261.89777563893074
2024-04-22,Laptop,North,2289.4800683632543,549.8633270283835
2024-04-23,Tablet,South,4619.78873454934,1776.7984702614692
2024-04-24,Smartphone,East,1577.4781432259372,350.9352034730709
2024-04-25,Laptop,North,3297.631291677997,1107.9216659506494
2024-04-26,Accessory,West,2208.177195627968,622.5383746068596
2024-04-27,Smartphone,North,5014.183283182611,1392.7440037053689
2024-04-28,Accessory,South,2416.099364326685,297.66675766018864
2024-04-29,Tablet,East,3262.6760103308484,501.6465844797563
2024-04-30,Tablet,East,3951.641766186876,408.58788319720884
2024-05-01,Laptop,East,2719.57086926396,436.31663732630307
2024-05-02,Accessory,East,2619.1539369671514,449.7400534997745
2024-05-03,Laptop,North,3106.112128182588,791.7119114037031
2024-05-04,Laptop,East,2121.3142673717157,674.8876267294623
2024-05-05,Accessory,South,2857.059088178229,859.7999064257596
2024-05-06,Laptop,North,1266.5197981226297,281.6616640964086
2024-05-07,Smartphone,West,3583.030053203542,427.3097350623648
2024-05-08,Tablet,West,371.5218066863416,89.32340268054416
2024-05-09,Tablet,West,1505.0106047931424,316.2803298854916
2024-05-10,Laptop,North,4692.31640969567,1392.7766870362639
2024-05-11,Tablet,North,131.8051743328442,25.084234312446206
2024-05-12,Smartphone,East,4647.986939527368,1673.3424433579728
2024-05-13,Smartphone,West,1822.6246771019048,568.2237049079221
2024-05-14,Laptop,East,3424.6469937667166,785.8175585032553
2024-05-15,Tablet,West,4225.182668632499,1228.0112483611244
2024-05-16,Smartphone,South,,31.30336137629682
2024-05-17,Laptop,North,1045.8791412500736,221.4449100292284
2024-05-18,Tablet,West,372.2120250866807,59.18192808474671
2024-05-19,Tablet,West,3502.1392086071764,1014.5498111942053
2024-05-20,Tablet,East,4569.354831073964,1013.4138384266082
2024-05-21,Laptop,East,1086.6248289307325,407.30890814672233
2024-05-22,Accessory,East,1874.354530648675,376.9254507005
2024-05-23,Laptop,East,2198.5970047020915,248.95600504143
2024-05-24,Smartphone,East,2617.037060309435,490.35727792961075
2024-05-25,Laptop,North,3537.9846086184316,1224.6264478394753
2024-05-26,Laptop,East,1524.451708673739,371.2160687636119
2024-05-27,Smartphone,South,3933.814106578013,897.402394484811
2024-05-28,Accessory,South,3672.1604830076817,696.6912760334055
2024-05-29,Accessory,West,3444.53938432722,712.1415666294413
2024-05-30,Tablet,North,810.5218111712664,213.44488280129127
2024-05-31,Smartphone,North,3173.9599771096546,790.6107652968942
2024-06-01,Accessory,East,2282.2573375744446,291.0950421241619
2024-06-02,Tablet,North,329.1720528847428,84.42655664786886
2024-06-03,Laptop,North,3038.690056352459,1164.7716997031562
2024-06-04,Laptop,North,1436.5923439934952,440.1323481135725
2024-06-05,Accessory,North,628.051087891846,121.76789258268204
2024-06-06,Tablet,South,3688.6510805939834,
2024-06-07,Laptop,North,742.6610434569807,217.67080498271875
2024-06-08,Laptop,East,2498.0565332007845,354.6020568100609
2024-06-09,Smartphone,West,3262.394947361935,744.8286449251424
2024-06-10,Laptop,West,4089.1494496304094,491.8014215096763
2024-06-11,Smartphone,North,3379.1134087707865,552.4160034564052
2024-06-12,Smartphone,East,3070.6326553575773,562.3920035586325
2024-06-13,Laptop,South,269.55714072338156,39.12565992764813
2024-06-14,Tablet,East,2653.063726734524,356.24677372972224
2024-06-15,Tablet,South,3343.225433654161,846.3064552368606
2024-06-16,Laptop,East,2014.134994443372,456.9127960856225
2024-06-17,Smartphone,East,2991.630661245104,790.5031111931378
2024-06-18,Laptop,South,2835.323854511424,890.6908840083472
2024-06-19,Smartphone,West,3314.536348693052,554.154124079844
2024-06-20,Accessory,East,4754.456737261702,579.834270896739
2024-06-21,Accessory,North,3319.2372436567725,1012.6461925408513
2024-06-22,Smartphone,South,5004.838791108889,741.6669663698787
2024-06-23,Laptop,East,2359.2915715073536,903.7752158461348
2024-06-24,Tablet,South,2067.9592647638938,231.89304292040956
2024-06-25,Laptop,East,1016.7826123116589,398.36148135814267
2024-06-26,Tablet,West,,769.8655885072714
2024-06-27,Accessory,North,2725.4935087400495,691.6156965459141
2024-06-28,Smartphone,North,1232.5453021876297,215.85772414380057
2024-06-29,Laptop,South,1043.260077327049,236.42529650718717
2024-06-30,Smartphone,East,2997.339132990617,553.27618321825
2024-07-01,Laptop,West,543.3559870243517,93.80749485006014
2024-07-02,Smartphone,North,2852.394361375598,528.0320156343175
2024-07-03,Accessory,East,1626.205806136502,442.51150687363327
2024-07-04,Tablet,South,,854.8929600095126
2024-07-05,Laptop,East,3200.542326702138,852.5691714514326
2024-07-06,Laptop,West,,789.1005672907144
2024-07-07,Laptop,North,2973.2687447562744,1137.2012444436034
2024-07-08,Accessory,North,3003.1632918823584,715.0733262963021
2024-07-09,Tablet,North,1961.0498468805217,385.80156589616666
2024-07-10,Tablet,West,1222.1996150687473,234.7263684829613
2024-07-11,Tablet,East,4846.035687121431,1660.9645516374885
2024-07-12,Tablet,South,4099.73511601634,433.61672439860314
2024-07-13,Laptop,North,890.1345591240051,238.73610065323334
2024-07-14,Accessory,West,4322.2426683500735,1686.110279592299
2024-07-15,Laptop,North,3306.6221709375527,520.269107054367
2024-07-16,Smartphone,North,3742.4687373008264,1184.6079653225586
2024-07-17,Tablet,East,423.96635179026515,88.21238348163645
2024-07-18,Laptop,West,264.81721605732184,50.407091782665816
2024-07-19,Accessory,South,3457.1957418623515,1372.831274111677
2024-07-20,Laptop,North,1466.3049382805498,386.2779554720097
2024-07-21,Laptop,South,2486.8026284812217,
2024-07-22,Laptop,East,935.0544825330358,121.75654974376388
2024-07-23,Smartphone,East,3673.2818301299326,897.2645141038219
2024-07-24,Tablet,South,3041.3416477566793,724.6672522286497
2024-07-25,Accessory,South,4923.2907681227825,804.943146379477
2024-07-26,Laptop,North,3787.016429876231,1424.2875867896046
2024-07-27,Laptop,East,4542.142649058128,982.7289883544372
2024-07-28,Smartphone,North,846.6902219056976,106.26103153756371
2024-07-29,Smartphone,East,4500.647504073138,1750.8047400755465
2024-07-30,Smartphone,North,733.6021390289195,223.3574000813393
2024-07-31,Tablet,West,2173.374442211053,430.3711533635572
2024-08-01,Tablet,North,467.7094415814821,153.74485865913093
2024-08-02,Laptop,South,,308.6467386811947
2024-08-03,Laptop,West,2219.98999553046,572.596328792794
2024-08-04,Smartphone,South,2568.721285514177,813.6544844623185
2024-08-05,Smartphone,East,3250.4306407566646,941.6519663669097
2024-08-06,Laptop,West,1170.9330676923337,370.97665904968864
2024-08-07,Laptop,North,2385.1770551343575,793.5244095087631
2024-08-08,Tablet,South,820.016379775379,143.2113376849882
2024-08-09,Tablet,East,4384.104821568559,1228.235155445968
2024-08-10,Laptop,South,1140.757526309405,307.70464540279625
2024-08-11,Laptop,South,279.74094235979726,109.47043065281018
2024-08-12,Laptop,West,2915.7883299846235,951.0359486699024
2024-08-13,Smartphone,South,236.81796253898608,60.36501381503585
2024-08-14,Laptop,West,722.403891179358,
2024-08-15,Accessory,South,1157.1113542058288,161.31551930202272
2024-08-16,Laptop,South,439.72144843001956,161.43224589845025
2024-08-17,Tablet,North,1173.6825469853593,186.1744649904889
2024-08-18,Smartphone,West,2979.665250540802,860.602436547133
2024-08-19,Laptop,South,4361.787513978138,1347.4922408009509
2024-08-20,Accessory,West,4106.487116264673,448.4301743937604
2024-08-21,Smartphone,North,3506.8376781514025,1191.5822635080078
2024-08-22,Laptop,East,3175.591018899504,359.07960059489216
2024-08-23,Smartphone,West,2685.9721861289813,1000.240211761441
2024-08-24,Laptop,North,3510.930356201644,397.03614784726045
2024-08-25,Tablet,East,3169.0548533612437,743.3855383141054
2024-08-26,Smartphone,East,1170.6151058867563,309.3592864414994
2024-08-27,Laptop,West,,571.5347573186107
2024-08-28,Laptop,East,537.2922639051611,98.74603215003748
2024-08-29,Laptop,South,217.56623180561095,31.403213818833457
2024-08-30,Smartphone,South,3418.2996032685874,795.2572712544761
2024-08-31,Laptop,West,4504.606468850697,1556.0170290262083
2024-09-01,Accessory,West,4466.427245500618,487.4392649170583
2024-09-02,Laptop,South,2954.987279388181,745.68106231655
2024-09-03,Laptop,East,3588.2624279006877,710.5171111200467
2024-09-04,Laptop,South,4792.511802852925,1715.4323160864742
2024-09-05,Accessory,North,546.8845172586348,165.26953389454857
2024-09-06,Laptop,South,373.09355566818226,62.82099278869987
2024-09-07,Smartphone,East,1507.3372431727203,200.42680429945432
2024-09-08,Laptop,West,183.35225051702236,53.93769340160779
2024-09-09,Smartphone,West,1124.038987086774,317.18189227579154
2024-09-10,Accessory,South,3721.420497133337,601.9895414703299
2024-09-11,Laptop,East,4449.499002240505,1440.5220811022414
2024-09-12,Laptop,East,319.58432107500147,116.82542784447409
2024-09-13,Smartphone,South,3962.0649460301474,1069.6182561189032
2024-09-14,Laptop,West,1904.7380462048193,665.4844784696695
2024-09-15,Laptop,North,4032.657094477367,650.7993558517956
2024-09-16,Laptop,West,2288.2116157659307,274.1280378226253
2024-09-17,Tablet,South,467.6619483034393,100.44061665883089
2024-09-18,Smartphone,East,879.2807990026486,268.35886748374185
2024-09-19,Laptop,North,2027.639709142356,258.6376048500817
2024-09-20,Smartphone,South,4482.038541132637,1652.9059747663161
2024-09-21,Accessory,North,2393.0306437321424,259.06597528079834
2024-09-22,Accessory,West,3860.095287982368,1239.5118579614473
2024-09-23,Smartphone,South,1155.3865059203063,315.12354551985936
2024-09-24,Laptop,East,2879.1438245416466,783.3232214727744
2024-09-25,Tablet,North,4166.823337946227,1020.3179130044066
2024-09-26,Smartphone,North,,280.34643680495714
2024-09-27,Laptop,East,4413.921150063571,1595.8551419142514
2024-09-28,Laptop,North,1296.0706694532853,225.46915401447157
2024-09-29,Laptop,North,3002.3430337572768,755.5405182297628
2024-09-30,Tablet,West,3738.107232215265,936.6610359132432
2024-10-01,Laptop,South,1746.3029753566857,564.4569233475856
2024-10-02,Smartphone,South,2548.4980058507167,669.5926346148801
2024-10-03,Smartphone,East,4352.508823180517,436.2608815449271
2024-10-04,Laptop,North,396.9153891385606,133.77499331494045
2024-10-05,Laptop,North,2839.9183529902416,408.98120996325883
2024-10-06,Smartphone,East,610.5925442647184,195.68844857709493
2024-10-07,Laptop,North,1794.7459387233255,207.83140660545791
2024-10-08,Laptop,North,430.928377492364,78.98795349382026
2024-10-09,Tablet,West,1921.5580985476317,732.2004355051561
2024-10-10,Tablet,East,4531.41815696745,892.5325503420165
2024-10-11,Smartphone,North,2527.0537905267406,845.7637453019114
2024-10-12,Accessory,East,2861.8284212025424,522.7719319521024
2024-10-13,Accessory,West,3218.6284642246833,1060.9529235445737
2024-10-14,Laptop,East,1283.8187921667536,289.0514051853971
2024-10-15,Laptop,West,4451.609134731121,1180.6198930181663
2024-10-16,Laptop,West,3206.784314194442,1077.0493018742332
2024-10-17,Laptop,West,2955.4103756049794,421.8544234127919
2024-10-18,Laptop,East,4635.329918394602,1029.1902798080864
2024-10-19,Laptop,East,3063.4242375287263,1045.2101678029726
2024-10-20,Accessory,East,495.8385586810413,147.72660226754985
2024-10-21,Laptop,North,5001.130308848443,1574.4415483331047
2024-10-22,Laptop,South,4271.218930318814,1220.1869949114287
2024-10-23,Laptop,East,4581.349048312069,1777.5398782837392
2024-10-24,Laptop,South,4517.067384501755,629.2910580752059
2024-10-25,Tablet,East,4589.774785518038,1447.3812118122285
2024-10-26,Accessory,South,2991.96192501104,473.04487228431236
2024-10-27,Laptop,North,2906.9626749308513,908.5555906749236
2024-10-28,Smartphone,East,1420.7794222652858,546.9767945617413
2024-10-29,Laptop,South,2867.101589799007,546.8207605623006
2024-10-30,Tablet,North,2557.9003969294085,801.0874676827846
2024-10-31,Accessory,North,,571.2022894211959
2024-11-01,Tablet,North,1881.7007772010263,495.87828399439013
2024-11-02,Laptop,North,1066.064040755155,
2024-11-03,Tablet,North,4978.058354112556,693.0312387680507
2024-11-04,Laptop,North,4177.179891799093,1426.8914864476847
2024-11-05,Laptop,North,4221.271981574492,558.3233557630291
2024-11-06,Accessory,East,739.2923840448727,103.41015814819905
2024-11-07,Accessory,West,3366.8910656902763,548.123726738627
2024-11-08,Tablet,South,2958.7702046524582,700.9921328328038
2024-11-09,Smartphone,South,4098.016276057369,606.4519404720214
2024-11-10,Laptop,North,321.96495693632767,76.08382340643341
2024-11-11,Smartphone,West,3937.350930200172,916.1288198639779
2024-11-12,Laptop,East,4147.427042925266,787.609775351361
2024-11-13,Accessory,South,1411.0826980790746,261.656442384059
2024-11-14,Laptop,South,4920.65950120748,881.0991691976344
2024-11-15,Tablet,West,,1045.9749190753985
2024-11-16,Laptop,West,4318.455628021591,537.3332485604999
2024-11-17,Laptop,North,1377.3290065517224,184.41828692092633
2024-11-18,Smartphone,North,1815.182697082057,506.04401620713514
2024-11-19,Tablet,West,352.856900036298,100.44440299026671
2024-11-20,Smartphone,West,4012.82312983058,1330.6769163851222
2024-11-21,Smartphone,East,1322.3442268309482,194.58616535547822
2024-11-22,Smartphone,West,2520.020370263121,576.0822551994563
2024-11-23,Smartphone,West,2185.459052100382,559.5535667386455
2024-11-24,Smartphone,North,2596.8790168707824,979.9926574106345
2024-11-25,Smartphone,South,2782.8583798473983,731.9945767650001
2024-11-26,Tablet,North,4275.616690559461,520.276078979248
2024-11-27,Accessory,North,3170.4245093077766,720.8455325762728
2024-11-28,Smartphone,South,1701.218223193795,565.4819308039052
2024-11-29,Tablet,East,907.6536532268241,141.66671018016356
2024-11-30,Smartphone,West,950.6862821754482,133.37565331246594
2024-12-01,Laptop,East,1144.9421612772865,183.78855151651643
2024-12-02,Smartphone,East,2081.9635815662814,
2024-12-03,Tablet,North,3508.879486805143,1159.3676665705918
2024-12-04,Tablet,South,3066.1388245957487,509.9438448233663
2024-12-05,Laptop,North,736.3797131345656,198.95269410028862
2024-12-06,Laptop,North,2026.1630420406027,366.9203768279551
2024-12-07,Tablet,West,3036.6547160624973,882.0176231322299
2024-12-08,Tablet,East,663.1814038556672,238.87962105228814
2024-12-09,Tablet,East,,808.0215410452887
2024-12-10,Laptop,East,3229.9908019427726,385.1759968885371
2024-12-11,Accessory,North,,354.67871924146937
2024-12-12,Laptop,North,1810.2670044145314,711.0024252166501
2024-12-13,Laptop,South,2110.1299234272915,486.1736981278052
2024-12-14,Laptop,West,4265.400118261211,1482.4359080647216
2024-12-15,Smartphone,South,1973.392051221962,498.4608347086369
2024-12-16,Smartphone,South,1321.8770479314069,512.8519292115051
2024-12-17,Accessory,South,2805.484624132584,870.5747352892605
2024-12-18,Smartphone,North,822.1604909109765,166.62968935878806
2024-12-19,Laptop,South,3416.0056837358866,349.4924373488356
2024-12-20,Tablet,South,337.45937938525185,120.90051643842712
2024-12-21,Smartphone,South,,524.1271518158933
2024-12-22,Tablet,North,2756.085508722942,631.5697417872982
2024-12-23,Accessory,North,1398.411406219853,497.80929529119646
2024-12-24,Accessory,South,,111.02030003807543
2024-12-25,Accessory,West,4395.173613874417,640.548790258
2024-12-26,Laptop,North,3981.565389472043,1509.9403071958975
2024-12-27,Laptop,West,3436.0848312363555,983.3784624465933
2024-12-28,Smartphone,South,3085.3508524490608,992.241607383169
2024-12-29,Smartphone,South,637.8071573610907,123.460523874176
2024-12-30,Accessory,South,322.41898998475506,119.74451789279175
2024-12-31,Laptop,North,4173.846728755904,1566.7194260298127
2025-01-01,Smartphone,North,2130.010989799801,652.92386032405
2025-01-02,Smartphone,East,287.9270640290729,64.10574991753454
2025-01-03,Laptop,North,529.5736380477304,106.66078639624256
2025-01-04,Smartphone,East,3653.808117029722,652.7351425121244
2025-01-05,Tablet,South,4179.138006989543,877.7378475005781
2025-01-06,Smartphone,East,1613.3808703668983,440.5390640604027
2025-01-07,Laptop,East,3830.0962318808783,669.3463995135646
2025-01-08,Laptop,South,292.5463091979781,90.91227996210061
2025-01-09,Accessory,North,4335.517023932643,
2025-01-10,Laptop,East,1304.1329174310322,285.68273544180096
2025-01-11,Smartphone,East,2661.1799723076497,418.87782622251217
2025-01-12,Tablet,West,2320.3321378490086,561.0550936867838
2025-01-13,Smartphone,South,4317.799844001714,
2025-01-14,Laptop,South,3710.0775214252826,642.6299048062544
2025-01-15,Smartphone,South,1237.168972021395,243.38688522797972
2025-01-16,Laptop,North,3530.57284292752,436.2161113701859
2025-01-17,Laptop,South,713.7081199022655,242.7537222012265
2025-01-18,Laptop,West,1708.3314659912603,500.41596550361186
2025-01-19,Smartphone,South,1257.5048025360506,489.69425024532273
2025-01-20,Tablet,North,4278.52598502942,648.231244206424
2025-01-21,Smartphone,West,3595.1785369796976,732.9490049550592
2025-01-22,Laptop,North,1481.1286813079778,302.8453527481858
2025-01-23,Laptop,West,940.4294828802512,228.0091040880208
2025-01-24,Smartphone,North,3453.6200784,1187.7483007711555
2025-01-25,Tablet,East,2189.0788344312195,320.675330119841
2025-01-26,Laptop,North,3701.765069062884,581.5137710550224
2025-01-27,Laptop,North,564.9597695524727,224.13021655596165
2025-01-28,Smartphone,East,2349.307708702643,797.2801779561116
2025-01-29,Laptop,East,394.04289697335463,146.81533791797864
2025-01-30,Laptop,South,100.0,39.7441005763597
2025-01-31,Accessory,North,4269.492790034954,438.8151648694333
2025-02-01,Laptop,East,4405.5980411963155,876.3775222186206
2025-02-02,Accessory,East,2874.519741740409,716.8289263885166
2025-02-03,Smartphone,West,3514.167958929728,371.2866919735725
2025-02-04,Laptop,West,4345.641631115562,484.7461586321367
2025-02-05,Tablet,North,,376.73519739066927
2025-02-06,Tablet,West,2988.6070177920424,456.25638214645153
2025-02-07,Laptop,South,1413.0672102238423,550.0106439201713
2025-02-08,Laptop,South,805.0186710535979,169.5861367083368
2025-02-09,Accessory,East,4809.76220535382,1001.4950101883501
2025-02-10,Smartphone,South,3652.829611972868,1264.300486109769
2025-02-11,Laptop,North,1099.2470909501096,376.5606712374184
2025-02-12,Laptop,West,2629.958957066218,355.1313655791116
2025-02-13,Smartphone,West,4172.778748271882,1664.0763084498276
2025-02-14,Smartphone,North,2205.795234438471,395.38327202784853
2025-02-15,Smartphone,East,4477.049088119457,614.6528195075616
2025-02-16,Laptop,East,1582.636619676627,493.2818991468375
2025-02-17,Laptop,West,657.716041473528,254.12681363553156
2025-02-18,Smartphone,South,1364.2120120521347,457.70261759010333
2025-02-19,Smartphone,North,3143.560999436845,693.7912103440889
2025-02-20,Laptop,West,459.5569503765078,99.97064295577118
2025-02-21,Tablet,South,3917.325291508712,1377.669420146943
2025-02-22,Laptop,East,4866.948848381316,1808.5162290646642
2025-02-23,Smartphone,West,534.3761514254119,155.6598457566011
2025-02-24,Smartphone,East,926.3497702300771,
2025-02-25,Laptop,South,4947.346071219835,1660.5233416476358
2025-02-26,Smartphone,North,2733.9112472816987,771.1892483264187
2025-02-27,Tablet,South,2833.899005390219,1022.0576777731037
2025-02-28,Smartphone,West,3192.3334954138672,928.5357625418673
2025-03-01,Laptop,South,1447.2589600861638,305.8025412839207
2025-03-02,Accessory,South,580.0140835120544,141.20697784119434
2025-03-03,Smartphone,North,4002.8802830079967,1357.7777030347652
2025-03-04,Tablet,North,3884.110122101715,1023.0348828134768
2025-03-05,Smartphone,West,3292.6022873501656,1225.2590370712476
2025-03-06,Accessory,East,1269.8914371322578,303.06003048854456
2025-03-07,Laptop,South,769.6524323643978,228.34973065839034
2025-03-08,Smartphone,West,2599.0788675107,773.6429504092591
2025-03-09,Smartphone,West,1908.7101377146826,445.06934424277284
2025-03-10,Smartphone,South,684.831656366782,119.81118119547202
2025-03-11,Smartphone,North,2818.4867642755507,597.5320811229535
2025-03-12,Tablet,South,559.8305074186401,205.01636023472093
2025-03-13,Laptop,North,2182.4753368042543,353.05874550859215
2025-03-14,Tablet,East,1818.061614614863,646.899326978061
2025-03-15,Laptop,West,2945.1422069295418,1102.737966160823
2025-03-16,Tablet,South,4129.766370409424,1347.3493931915714
2025-03-17,Accessory,North,1595.1280144128657,437.05664177867175
2025-03-18,Smartphone,West,347.6804239724981,84.34720933792235
2025-03-19,Smartphone,South,1413.7215499778963,508.0065440818153
2025-03-20,Laptop,South,1495.5960221186185,186.23671019110148
2025-03-21,Laptop,East,4859.54216681992,1033.4897197861628
2025-03-22,Laptop,East,421.27851089041224,166.78026027735694
2025-03-23,Smartphone,West,1326.4400517292902,344.1251402747416
2025-03-24,Accessory,East,4331.7769250623805,991.3777168271606
2025-03-25,Tablet,South,4360.914978192689,1196.7935697989312
2025-03-26,Smartphone,West,4600.342748943286,1621.386314506252
2025-03-27,Tablet,North,980.0309505694194,381.0818058091094
2025-03-28,Accessory,West,797.8218340863242,296.04619895043345
2025-03-29,Laptop,West,3946.7143466564585,1217.5524657433982
2025-03-30,Accessory,North,1218.330306217741,394.9398665734801
2025-03-31,Smartphone,West,3952.6122402136,1568.1582906838782
2025-04-01,Smartphone,West,929.8100103981061,180.7641720073307
2025-04-02,Laptop,North,1910.2521927815492,323.3032273273758
2025-04-03,Smartphone,South,4078.968577468907,898.4633164475788
2025-04-04,Smartphone,North,3453.6967822323145,579.6520711694094
2025-04-05,Smartphone,North,4146.811774475742,1472.0892989919423
